epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3869.58,1.80097,1.65253,1.52415,0.45481,0.41943,0.379,0.16652,1.96569,1.81695,1.70304,0.000742625,0.000742625,0.000742625
43,3959.15,1.7872,1.67289,1.51535,0.4294,0.40577,0.36922,0.16969,1.9342,1.82882,1.6689,0.00073025,0.00073025,0.00073025
44,4046.17,1.8039,1.68249,1.52379,0.42961,0.43042,0.3866,0.17292,1.92725,1.77543,1.66445,0.000717875,0.000717875,0.000717875
45,4137.87,1.77605,1.6494,1.49651,0.43398,0.44966,0.39745,0.17744,1.94469,1.74326,1.66456,0.0007055,0.0007055,0.0007055
46,4224.09,1.78011,1.62999,1.50918,0.43284,0.41473,0.37943,0.16532,2.00518,1.83863,1.69267,0.000693125,0.000693125,0.000693125
47,4314.32,1.77028,1.61752,1.4939,0.44809,0.43387,0.39931,0.18084,1.96068,1.76116,1.68212,0.00068075,0.00068075,0.00068075
48,4403.47,1.7574,1.61922,1.48931,0.43694,0.4299,0.3898,0.16944,1.95569,1.75475,1.66429,0.000668375,0.000668375,0.000668375
49,4490.93,1.73907,1.57981,1.47368,0.449,0.44288,0.40776,0.18035,1.93508,1.70531,1.65704,0.000656,0.000656,0.000656
50,4578.42,1.73433,1.55922,1.47279,0.45548,0.42733,0.39445,0.17772,1.96596,1.72322,1.65094,0.000643625,0.000643625,0.000643625
51,4671.69,1.74387,1.56564,1.4715,0.44531,0.45652,0.4118,0.18394,1.95071,1.71249,1.66504,0.00063125,0.00063125,0.00063125
52,4777.19,1.75038,1.56005,1.47535,0.45185,0.43718,0.41709,0.18128,1.9491,1.72762,1.65416,0.000618875,0.000618875,0.000618875
53,4881.86,1.72178,1.53438,1.45313,0.49947,0.44153,0.42758,0.18364,1.95837,1.71142,1.66825,0.0006065,0.0006065,0.0006065
54,4988.91,1.71656,1.52611,1.45557,0.5071,0.41396,0.40452,0.18397,1.94492,1.7244,1.65516,0.000594125,0.000594125,0.000594125
55,5080.05,1.71057,1.50893,1.4512,0.4497,0.4399,0.42344,0.18686,1.95183,1.69596,1.66537,0.00058175,0.00058175,0.00058175
56,5167.4,1.68628,1.48503,1.44478,0.49108,0.44976,0.43295,0.19552,1.91693,1.68344,1.65256,0.000569375,0.000569375,0.000569375
57,5260.9,1.67926,1.49046,1.43148,0.45948,0.46323,0.43668,0.19272,1.94388,1.64922,1.65364,0.000557,0.000557,0.000557
58,5365.75,1.6887,1.47314,1.43058,0.46847,0.45552,0.42974,0.19603,1.90336,1.66427,1.63547,0.000544625,0.000544625,0.000544625
59,5463.86,1.66062,1.43727,1.41318,0.4789,0.45463,0.43323,0.19359,1.929,1.65412,1.63838,0.00053225,0.00053225,0.00053225
60,5569.99,1.67776,1.44885,1.42994,0.4868,0.4639,0.44974,0.19764,1.91424,1.62924,1.65613,0.000519875,0.000519875,0.000519875
61,5674.5,1.65667,1.44232,1.40935,0.5325,0.43916,0.45471,0.20282,1.93017,1.65265,1.66127,0.0005075,0.0005075,0.0005075
62,5771.37,1.66622,1.43175,1.41405,0.4829,0.46459,0.43353,0.19069,1.95785,1.65732,1.66957,0.000495125,0.000495125,0.000495125
63,5859.48,1.64577,1.42145,1.41075,0.4803,0.4901,0.46502,0.20217,1.94233,1.6379,1.64737,0.00048275,0.00048275,0.00048275
64,5947.95,1.63722,1.41795,1.40486,0.52248,0.46392,0.46001,0.20938,1.92897,1.60549,1.64121,0.000470375,0.000470375,0.000470375
65,6036.2,1.6344,1.39567,1.40532,0.48265,0.48131,0.45623,0.2016,1.95126,1.61609,1.64881,0.000458,0.000458,0.000458
66,6124.2,1.62359,1.36654,1.39539,0.50162,0.4713,0.46574,0.20614,1.95716,1.60927,1.66116,0.000445625,0.000445625,0.000445625
67,6211.28,1.61285,1.34477,1.3762,0.50339,0.47638,0.46663,0.20232,1.95915,1.60544,1.65919,0.00043325,0.00043325,0.00043325
68,6298.13,1.5915,1.34342,1.38078,0.52707,0.47355,0.48789,0.21611,1.9176,1.56822,1.65655,0.000420875,0.000420875,0.000420875
69,6386.02,1.6108,1.33856,1.38615,0.49939,0.46115,0.45888,0.19988,1.96689,1.58962,1.67577,0.0004085,0.0004085,0.0004085
70,6476.28,1.57428,1.314,1.36433,0.51215,0.48428,0.48473,0.21896,1.91633,1.56522,1.65041,0.000396125,0.000396125,0.000396125
71,6580.14,1.58311,1.31912,1.36302,0.48744,0.48411,0.47717,0.21206,1.9238,1.58304,1.66338,0.00038375,0.00038375,0.00038375
72,6683.35,1.59296,1.33282,1.38754,0.48027,0.51269,0.48705,0.21878,1.91632,1.55764,1.64902,0.000371375,0.000371375,0.000371375
73,6785.64,1.57889,1.32407,1.3698,0.55334,0.49218,0.49181,0.22122,1.89996,1.59225,1.63755,0.000359,0.000359,0.000359
74,6888.35,1.56517,1.29432,1.36697,0.52536,0.48431,0.47987,0.21306,1.93528,1.56855,1.65167,0.000346625,0.000346625,0.000346625
75,6993.77,1.54284,1.27338,1.34107,0.59734,0.4785,0.48974,0.21968,1.92201,1.56045,1.63509,0.00033425,0.00033425,0.00033425
76,7098.73,1.54607,1.26953,1.35457,0.52926,0.5036,0.49078,0.22203,1.9212,1.55867,1.63931,0.000321875,0.000321875,0.000321875
77,7204.3,1.52875,1.24783,1.34004,0.52232,0.48535,0.48979,0.22265,1.91969,1.55706,1.6509,0.0003095,0.0003095,0.0003095
78,7310.15,1.524,1.2392,1.33328,0.51951,0.51134,0.49691,0.22209,1.9308,1.54927,1.66295,0.000297125,0.000297125,0.000297125
